Min,Max
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
4.805473807e-11,320.4803429
